iter	RMSE
0	201.2429572
1	195.0585483
2	189.7937284
3	185.3291757
4	180.1899562
5	174.9814444
6	170.496649
7	165.9959948
8	161.037428
9	156.570256
10	153.1386138
11	148.7589879
12	144.8317413
13	141.0128719
14	137.2831124
15	133.5594206
16	129.9965971
17	126.7068141
18	123.6564203
19	120.6980567
20	117.4174926
21	114.4320851
22	111.5679217
23	108.7771376
24	106.3262016
25	103.8144108
26	101.5120704
27	99.11110142
28	97.10339845
29	95.05679124
30	93.11892407
31	90.95707491
32	88.90322217
33	87.00232751
34	85.03150843
35	83.36917055
36	81.59177449
37	80.08544981
38	78.59233646
39	77.25512653
40	76.26254211
41	74.73490948
42	73.53779673
43	72.4125423
44	71.22045733
45	70.25489361
46	69.12594047
47	68.09510596
48	67.06725707
49	66.10812024
50	65.23363969
51	64.33126671
52	63.53690837
53	62.62715452
54	61.83576727
55	61.12491213
56	60.45576774
57	59.774377
58	59.04055539
59	58.40710893
60	57.75638322
61	57.11597972
62	56.48388082
63	55.93149129
64	55.3126752
65	54.79003661
66	54.23760986
67	53.77497417
68	53.28931089
69	52.9326799
70	52.51248939
71	52.09593777
72	51.68642742
73	51.29724841
74	50.96945889
75	50.59053211
76	50.30936294
77	49.99818701
78	49.75163959
79	49.45201785
80	49.17425235
81	48.90921259
82	48.64344441
83	48.41134034
84	48.19506029
85	47.95338662
86	47.78810907
87	47.63604186
88	47.41564983
89	47.18304631
90	46.9824329
91	46.76755938
92	46.57765273
93	46.44413263
94	46.28835319
95	46.1210848
96	45.93905073
97	45.78611608
98	45.6607257
99	45.48023212
100	45.32265609
101	45.15969635
102	45.01256551
103	44.86485643
104	44.74714127
105	44.6151107
106	44.48150028
107	44.34407829
108	44.21461901
109	44.1064671
110	44.00004978
111	43.86723504
112	43.75392331
113	43.63951299
114	43.52369209
115	43.43169683
116	43.32941434
117	43.24448642
118	43.13894914
119	43.02668768
120	42.91299187
121	42.81173703
122	42.68750634
123	42.58804722
124	42.47374051
125	42.38558367
126	42.26177114
127	42.15715298
128	42.06616469
129	41.94897684
130	41.86618512
131	41.72226153
132	41.65292513
133	41.57077703
134	41.51692772
135	41.44537556
136	41.37213297
137	41.29395163
138	41.20550277
139	41.13264758
140	41.04525353
141	40.95250639
142	40.8679132
143	40.80581514
144	40.71903005
145	40.64679611
146	40.56938899
147	40.51230478
148	40.45226231
149	40.38296517
150	40.30973752
151	40.22700678
152	40.15271668
153	40.07854645
154	39.97298083
155	39.87971737
156	39.83280721
157	39.76560187
158	39.67182101
159	39.60216732
160	39.53515248
161	39.45068951
162	39.39358468
163	39.32055408
164	39.2281218
165	39.13669717
166	39.09088277
167	39.034905
168	38.9576064
169	38.87461815
170	38.81219472
171	38.72444452
172	38.66532946
173	38.57103158
174	38.479069
175	38.34139957
176	38.27323225
177	38.20778701
178	38.12031874
179	38.04183776
180	37.98294227
181	37.92496099
182	37.84897426
183	37.79404478
184	37.67899233
185	37.61832054
186	37.55891519
187	37.5024718
188	37.42138983
189	37.30640946
190	37.2434455
191	37.18045872
192	37.08142035
193	37.03743367
194	36.98225773
195	36.91906194
196	36.86865691
197	36.77388757
198	36.73482999
199	36.64134321
200	36.52005761
201	36.42990619
202	36.32432194
203	36.25147085
204	36.17519657
205	36.0907752
206	36.02105288
207	35.87651037
208	35.76423318
209	35.69063988
210	35.62937479
211	35.54205296
212	35.48799796
213	35.43302356
214	35.35690762
215	35.29033496
216	35.21033203
217	35.14330654
218	35.07868387
219	35.03619735
220	34.96687637
221	34.91490786
222	34.84586066
223	34.79382718
224	34.70717851
225	34.69806105
226	34.63282004
227	34.56967069
228	34.50501509
229	34.43355311
230	34.41722414
231	34.33543899
232	34.30040609
233	34.23448822
234	34.18343811
235	34.13722313
236	34.06820045
237	34.01771216
238	33.90607598
239	33.82569307
240	33.74160126
241	33.71677063
242	33.64907503
243	33.59743215
244	33.52389564
245	33.45275434
246	33.39010182
247	33.33253531
248	33.28729391
249	33.23260619
250	33.19920276
251	33.10979317
252	33.03063966
253	33.00774234
254	32.94694084
255	32.84506017
256	32.74296375
257	32.68737262
258	32.63052747
259	32.53505812
260	32.48620726
261	32.40743056
262	32.33002311
263	32.26029927
264	32.21140029
265	32.19523286
266	32.15520234
267	32.10035499
268	32.02233576
269	31.93909729
270	31.92285425
271	31.90656516
272	31.85559812
273	31.79268658
274	31.74870297
275	31.69364678
276	31.68145273
277	31.62487598
278	31.56013918
279	31.49186402
280	31.45110813
281	31.41874806
282	31.32390046
283	31.31696668
284	31.25427253
285	31.20828495
286	31.1747441
287	31.16458954
